geneCluster	pan_category	COG1	COG2	COG3	COG4
GC00003374	shell	X			
GC00007442	cloud	X			
GC00006049	cloud	X			
GC00001306	softcore	I			
GC00001183	core	S			
GC00007449	cloud	X			
GC00006042	cloud	X			
GC00007448	cloud	X			
GC00006043	cloud	X			
GC00001702	shell	C			
GC00006040	cloud	X			
GC00005331	shell	H			
GC00006041	cloud	X			
GC00000966	core	S			
GC00001099	core	I			
GC00006046	cloud	X			
GC00006047	cloud	X			
GC00006044	cloud	S			
GC00006045	cloud	S			
GC00005446	shell	X			
GC00005445	shell	X			
GC00004637	shell	X			
GC00003372	shell	M			
GC00005444	shell	X			
GC00004636	shell	X			
GC00002501	shell	X			
GC00005335	shell	X			
GC00003371	shell	F			
GC00000868	core	E			
GC00004634	shell	X			
GC00003370	shell	S			
GC00007614	cloud	X			
GC00007615	cloud	X			
GC00007616	cloud	X			
GC00005337	shell	X			
GC00007617	cloud	X			
GC00001180	softcore	C			
GC00004633	shell	X			
GC00007610	cloud	X			
GC00007611	cloud	X			
GC00001445	softcore	P			
GC00007612	cloud	X			
GC00007613	cloud	X			
GC00005440	shell	X			
GC00007618	cloud	X			
GC00007154	cloud	X			
GC00004632	shell	X			
GC00007619	cloud	X			
GC00005494	shell	X			
GC00007385	cloud	S			
GC00004631	shell	X			
GC00004057	shell	X			
GC00000913	core	O			
GC00005495	shell	X			
GC00001094	core	J			
GC00004056	shell	X			
GC00005496	shell	X			
GC00007225	cloud	X			
GC00004630	shell	S			
GC00007224	cloud	X			
GC00007227	cloud	X			
GC00001703	shell	G			
GC00007226	cloud	X			
GC00002419	shell	G			
GC00007221	cloud	X			
GC00002398	shell	L			
GC00007220	cloud	X			
GC00004639	shell	Q			
GC00007223	cloud	S			
GC00007222	cloud	E			
GC00007229	cloud	X			
GC00007228	cloud	X			
GC00004638	shell	X			
GC00002399	shell	P			
GC00000869	core	I			
GC00004059	shell	X			
GC00003067	shell	X			
GC00002392	shell	X			
GC00000965	core	S			
GC00001040	core	H			
GC00003066	shell	X			
GC00004026	shell	X			
GC00002279	shell	I			
GC00000910	core	S			
GC00000798	core	L			
GC00002393	shell	S			
GC00002414	shell	S			
GC00000694	core	S			
GC00003064	shell	S			
GC00001186	core	J			
GC00004370	shell	X			
GC00003063	shell	K			
GC00001095	core	C			
GC00000799	core	K			
GC00003062	shell	X			
GC00004058	shell	X			
GC00007040	cloud	S			
GC00002391	shell	S			
GC00004376	shell	L			
GC00003061	shell	H			
GC00006778	cloud	X			
GC00006779	cloud	X			
GC00006770	cloud	X			
GC00006771	cloud	X			
GC00006772	cloud	S			
GC00006773	cloud	K			
GC00000866	core	L			
GC00006774	cloud	Q			
GC00006775	cloud	Q			
GC00006776	cloud	X			
GC00006777	cloud	X			
GC00002030	shell	X			
GC00002396	shell	I			
GC00003069	shell	S			
GC00002416	shell	S			
GC00003068	shell	X			
GC00005546	cloud	X			
GC00005547	cloud	X			
GC00005544	cloud	X			
GC00001096	core	C			
GC00000964	core	F			
GC00005545	cloud	X			
GC00005542	cloud	X			
GC00005543	cloud	X			
GC00001623	shell	Q			
GC00005540	cloud	X			
GC00005541	cloud	X			
GC00005548	cloud	X			
GC00005549	cloud	X			
GC00000570	core	O			
GC00002037	shell	X			
GC00002273	shell	X			
GC00004499	shell	X			
GC00004506	shell	S			
GC00001480	softcore	S			
GC00001856	shell	X			
GC00004498	shell	X			
GC00001209	core	S			
GC00004493	shell	E			
GC00002395	shell	X			
GC00004491	shell	X			
GC00007278	cloud	X			
GC00007279	cloud	X			
GC00004490	shell	X			
GC00001187	core	K			
GC00007272	cloud	X			
GC00007273	cloud	X			
GC00007270	cloud	X			
GC00000867	core	J			
GC00004497	shell	K			
GC00007271	cloud	X			
GC00001270	core	C			
GC00007276	cloud	X			
GC00007277	cloud	X			
GC00007274	cloud	X			
GC00007275	cloud	X			
GC00002028	shell	Q			
GC00002275	shell	S			
GC00004496	shell	C			
GC00001097	core	C			
GC00004837	shell	X			
GC00005249	shell	S			
GC00004495	shell	X			
GC00005248	shell	X			
GC00004836	shell	X			
GC00001208	core	I			
GC00002039	shell	X			
GC00004494	shell	S			
GC00002274	shell	Q			
GC00005278	shell	G			
GC00002019	shell	S			
GC00001184	core	S			
GC00004945	shell	X			
GC00002029	shell	K			
GC00000698	core	P			
GC00005279	shell	T			
GC00004374	shell	X			
GC00004944	shell	S			
GC00001489	softcore	S			
GC00007609	cloud	X			
GC00004378	shell	X			
GC00007608	cloud	X			
GC00005274	shell	E			
GC00007603	cloud	X			
GC00007602	cloud	X			
GC00004947	cloud	X			
GC00007601	cloud	X			
GC00007600	cloud	X			
GC00007607	cloud	X			
GC00004379	shell	X			
GC00007606	cloud	X			
GC00006296	cloud	S			
GC00007605	cloud	X			
GC00007604	cloud	X			
GC00006808	cloud	X			
GC00006809	cloud	X			
GC00006806	cloud	X			
GC00004577	shell	X			
GC00004047	shell	X			
GC00006807	cloud	X			
GC00006294	cloud	X			
GC00004941	shell	X			
GC00006804	cloud	X			
GC00006805	cloud	X			
GC00004147	shell	X			
GC00006802	cloud	X			
GC00006803	cloud	X			
